colnames,status
RecordNo,                    
sc1_1,-
sc1_2,-
sc1_3,-
sc1_4,-
sc1_5,-
sc1_6,-
sc1_7,-
sc1_8,-
sc1_9,-
sc1_10,-
sc1_11_43,-
Q1,
Q3_1,
Q3_2,
Q3_3,
Q3_4,
Q85_1_1, - 
Q85_1_2, - 
Q85_1_3, - 
Q85_1_4, - 
Q85_1_6, - 
Q85_1_5, - 
Q85_2_1, - 
Q85_2_2, - 
Q85_2_3, - 
Q85_2_4, - 
Q85_2_6, - 
Q85_2_5, - 
Q85_3_1, - 
Q85_3_2, - 
Q85_3_3, - 
Q85_3_4, - 
Q85_3_6, - 
Q85_3_5, - 
Q85_4_1, - 
Q85_4_2, - 
Q85_4_3, - 
Q85_4_4, - 
Q85_4_6,
Q85_4_5,
Q85a_1_1,- 
Q85a_2_1,- 
Q85a_3_1,- 
Q85a_4_1,- 
Q4,      - 
Q5,      - 
Q6,      - 
Q7,      - 
Q8_v2_1,
Q8_v2_2,
Q8_v2_3,
Q8_v2_4,
Q9,
Q10,
Q11,
Q12,
Q13,
Q14,
Q15,
Q16,
Q17,
Q18,
Q18_1_open,- 
Q18a,      - 
Q19,
Q20,
Q21,
Q21_1_open,- 
Q22,       - 
Q23,
Q24,
gender,
profile_age1,
profile_age2,
profile_age3,
region,
profile_education,
device_category,
status,
qualityControl_overall_scale,
comments, -
page_pSC1_timing,
page_Q1_timing,
page_Intro_timing,
page_pIntro_q3_timing,
page_Q3_timing,
page_Q85_timing,
page_Q85a_v2_timing,
page_Q4_timing,
page_Q5_timing,
page_Q6_timing,
page_Q7_timing,
page_Q8_v2_timing,
page_Q9_timing,
page_Q10_timing,
page_Q11_timing,
page_Q12_timing,
page_Q13_timing,
page_Q14_timing,
page_Q15_timing,
page_Q16_timing,
page_IntroDemo_timing,
page_Q17_timing,
page_Q18_timing,
page_Q18a_timing,
page_Q19_timing,
page_Q20_timing,
page_Q21_timing,
page_Q22_timing,
page_Q23_timing,
page_Q24_timing,
tot_time,
weight,
