RecordNo,q,a
193,Q4,Mainframe
193,Q4,ServiceNow
193,Q4,Rational Developer
193,Q4,RTC
205,Q4,Microsoft windows 10 2017
205,Q4,Microsoft share-point 2016)
205,Q4,Microsoft Office pakken 365
205,Q4,Acadre 2016
205,Q4,Mercell 2017
205,Q4,Oracle ?
207,Q4,Microsoft Office: Outlook
207,Q4,Word
207,Q4,Excel. Navigator fra Bering IT
208,Q4,Microsoft Office
208,Q4,Adobe InDesign
208,Q4,Adobe Photoshop
208,Q4,CCI News Gate
209,Q4,Microsoft word 2016
209,Q4,Microsoft excel 2016
209,Q4,Microsoft PowerPoint 2016
209,Q4,Navision
209,Q4,therefore
210,Q4,Microsoft Office 365
210,Q4,Kingo journalstyring
212,Q4,Word
212,Q4,powerpoint
212,Q4,epic
214,Q4,Microsoft Visual Studio
214,Q4,PostgreSQL
216,Q4,Microsoft
216,Q4,sitecore
216,Q4,surveyxact
216,Q4,øss
216,Q4,qlikview
216,Q4,sdupro
218,Q4,Microsoft 2016-Word
218,Q4,Excel
218,Q4,Acces
218,Q4,Power Point
218,Q4,PowerBi
218,Q4,osv.
220,Q4,Microsoft Word 2011
220,Q4,Microsoft Excel 2011
220,Q4,Microsoft Powerpoint 2011
220,Q4,Microsoft Publisher 2011
221,Q4,Mail. Browser
221,Q4,rdp klient
225,Q4,office pakken
226,Q4,Microsoft Word
226,Q4,Microsoft Excel
228,Q4,-
237,Q4,Officer 365
237,Q4,Chrome
237,Q4,navision
237,Q4,synchronicer
237,Q4,skyhost
240,Q4,Office2016
240,Q4,Navision Nav
240,Q4,Adobe Reader
241,Q4,Airboss
241,Q4,microsoft word
241,Q4,microsoft Excel
241,Q4,osc shop
241,Q4,
242,Q4,Outlook
242,Q4,Word
244,Q4,Ms Word MS Excel. Ms powerpoint. + 5 andre
246,Q4,Windows
246,Q4,photoshop
252,Q4,Microsoft Office 2016
252,Q4,Google Crome
252,Q4,Evernote
252,Q4,Microsoft Teams
252,Q4,Skype for Business
254,Q4,Outlook - officepakken
255,Q4,Microsoft Word 2016
255,Q4,Microsoft Excel 2016
255,Q4,Microsoft Powerpoint 2016
255,Q4,Outlook
255,Q4,Adobe Digitals Edition 4.5
255,Q4,Corel WinDVD Pro 11
255,Q4,Nilex AB
255,Q4,Spotify
255,Q4,egetudviklet program til katalogisering af bøger mm
257,Q4,Office365
257,Q4,word 2016
257,Q4,Excel 2016
257,Q4,internet explorer 11
257,Q4,Chrome
257,Q4,Salesforce
258,Q4,Office
259,Q4,Informatica PowerCenter
259,Q4,Sqlserver
259,Q4,Microsoft office og udviklingsprodukter.
263,Q4,ITA Proaktivitet
263,Q4,MS Word 2016
263,Q4,MS Excel 2016
263,Q4,MS Outlook 2016
263,Q4,MS Yammer 2016
263,Q4,MS Sharepoint 2016
263,Q4,SolarWinds MSP
263,Q4,Google Chrome
264,Q4,Officepakken 2016
264,Q4,visio
264,Q4,putty
264,Q4,Chrome
264,Q4,Firefox
264,Q4,Live action
264,Q4,remedy
264,Q4,lync
264,Q4,wireshark
267,Q4,Navision
271,Q4,Microsoft Office Professional
271,Q4,Microsoft Skype for business
273,Q4,MS office 365 fuld pakke med visio
275,Q4,Microsoft Office Word
275,Q4,Excel
275,Q4,Economics
275,Q4,Netbank
275,Q4,Dropbox
277,Q4,MS Word
277,Q4,MS Excel
277,Q4,MS Visio
285,Q4,Canvas
285,Q4,word
285,Q4,Excel
285,Q4,outlook
285,Q4,powerpoint
285,Q4,elevplan
285,Q4,
286,Q4,z
287,Q4,Microsoft Word
287,Q4,cura
287,Q4,fællessprog 3
287,Q4,windows
287,Q4,outlook
288,Q4,PowerPoint
288,Q4,word
288,Q4,Excel
288,Q4,SharePoint
288,Q4,Outlook
288,Q4,browser
288,Q4,Skype for business
301,Q4,Microsoft office
301,Q4,labview
301,Q4,specielt designede programmer
303,Q4,MS Word 2007
303,Q4,MS Excel 2007
303,Q4,WordPress
305,Q4,Mosar gui
305,Q4,AVID Mediacomposer
305,Q4,Inews AVID
308,Q4,Office
312,Q4,microsoft 365
312,Q4,csc socialproduktion
312,Q4,openFit
314,Q4,h
315,Q4,Microsoft Word xxxx
315,Q4,microsoft Excel xxxx
316,Q4,Microsoft word
316,Q4,outlook
317,Q4,Microsoft Word 2011
317,Q4,microsoft outlook
323,Q4,Python
323,Q4,Gridlastic
323,Q4,Fortran77
323,Q4,Comal
323,Q4,C#
323,Q4,SpiraTest
323,Q4,Rocket
323,Q4,SoapUI
323,Q4,blandt andet...
324,Q4,Advopro
324,Q4,Lotus notes
324,Q4,word
328,Q4,MS office
329,Q4,Microsoft Word
329,Q4,Citrix
332,Q4,Alle man office produkterne
332,Q4,amfora
332,Q4,
333,Q4,Epic
333,Q4,sundhedsplatformen
334,Q4,Microsoft Office 365
334,Q4,Microsoft Power BI
334,Q4,Microsoft Power App
334,Q4,Microsoft OneDrive for Business
334,Q4,Microsoft SharePoint
334,Q4,Affinity Photo
334,Q4,Affinity Designer
334,Q4,Bracket IO
334,Q4,Wordpress.
336,Q4,Office
336,Q4,Navision
336,Q4,Oracle
337,Q4,Microsoft Word 2013: MS Outlook
337,Q4,MS Excel
337,Q4,MS PowerPoint
337,Q4,Safari
337,Q4,Firefox
339,Q4,Newscycle
339,Q4,google chrome
339,Q4,outlook
339,Q4,microsoft word
339,Q4,paint
340,Q4,Glem det
342,Q4,Ikke forstået
344,Q4,?
346,Q4,Office
351,Q4,øh jeg er lige startet
351,Q4,så jeg er ikke helt opdateret. prøver alligevel... Word 2010 eller 2011 tror jeg
351,Q4,citrix
351,Q4,infonet
351,Q4,
354,Q4,Microsoft word 2010
354,Q4,ANSYS 17.5. Matlab 2015
355,Q4,Jeg arbejder primært i Google docs. Herudover til tider Microsoft Excel og Microsoft word
357,Q4,Microsoft Office 2016
357,Q4,Microsoft Visual Studio 2017
359,Q4,Microsoft Office 2011
359,Q4,Microsoft Outlook
359,Q4,Google Chrome
363,Q4,Ms Office
363,Q4,SAP
363,Q4,specielt udviklede programmer til virksomheden
363,Q4,Concur
364,Q4,Office 365
364,Q4,Firefox
364,Q4,Mail
364,Q4,Slack
364,Q4,Visma Løn
364,Q4,Visma.net Expense
366,Q4,KMD OPUS
366,Q4,exel
366,Q4,Word
366,Q4,Outlook
366,Q4,acadre
367,Q4,Alt for mange til at liste her...
372,Q4,Propftexx
376,Q4,Microsoft word
376,Q4,exel
380,Q4,Microsoft Office pakken
381,Q4,Word
381,Q4,acrobat reader
381,Q4,Excel
381,Q4,power point
381,Q4,Lotus notes
381,Q4,google Chrome
382,Q4,chrome
382,Q4,ms office 2016
382,Q4,greenscreen
382,Q4,notepad
382,Q4,keep
382,Q4,gmail
385,Q4,Microsoft Word
385,Q4,Outlook
385,Q4,Excel 2013
385,Q4,Formpipe Acadre CM og MM 17
385,Q4,KMD Structura 4.18.0.2
385,Q4,CSC Danmark A/S DPR 4.7.2
385,Q4,
385,Q4,MIcrosoft Internet Explorer 11
385,Q4,Nexus Telnet 7
385,Q4,KMD Doc2mail 3.8.0.10
385,Q4,First Agenda Prepare
388,Q4,Mange forskellige
391,Q4,SAP GUI
391,Q4,Microsoft Excel med SAP BEx Add-on
391,Q4,Harepoint
393,Q4,microsoft office
399,Q4,
399,Q4,
408,Q4,Microsoft Office 365 (Word
408,Q4,Excel
408,Q4,Power Point
408,Q4,
409,Q4,Google Drive
409,Q4,Google Docs
409,Q4,Windows Outlook
409,Q4,Dreamveawer
409,Q4,Photoshop
410,Q4,windows 2003
414,Q4,Microsoft Office Pakke 2013
414,Q4,Adobe Reader
414,Q4,
419,Q4,Navisen
423,Q4,Microsoft Word
423,Q4,Chrome
423,Q4,Outlook
423,Q4,
427,Q4,Notes
427,Q4,word
427,Q4,excel
427,Q4,tn3270
427,Q4,
433,Q4,Microsoft word 2016
433,Q4,microsoft Excel 2016
433,Q4,microsoft powerpoint 2016
433,Q4,microsoft outlook 2016
433,Q4,Adobe InDesign og adobe Photoshop i creative cloud
433,Q4,microsoft teams
433,Q4,iPaper
433,Q4,intercall webinarsystem.
437,Q4,Windows 365
446,Q4,Office
446,Q4,adobe
447,Q4,Word
447,Q4,Excel
448,Q4,Windows Office pro
448,Q4,min uddannelse
448,Q4,Clio online
448,Q4,Alinea
450,Q4,Windows
450,Q4,Microsoft Excel
450,Q4,Microsoft Word
450,Q4,Microsoft PowerPoint
450,Q4,Microsoft Outlook
450,Q4,docunote
450,Q4,Skype for business
451,Q4,SAP
451,Q4,Captia
456,Q4,fssffs
465,Q4,Mamge
469,Q4,Word
469,Q4,Excel
469,Q4,Powerpoint
469,Q4,Outlook
469,Q4,Getorginized
470,Q4,Microsoft Word
472,Q4,Sharepoint
472,Q4,Microsoft Office
472,Q4,Outlook
472,Q4,Skype og OneDrive.
473,Q4,Microsoft Office
473,Q4,Winfinans
475,Q4,Browser
477,Q4,Word
477,Q4,excel
477,Q4,power point
477,Q4,publisher. Går ud fra at det er Microsoft men kender ikke årstal. Skype
478,Q4,Word
479,Q4,Microsoft Excel
479,Q4,Microsoft Word
479,Q4,Google Chrome
479,Q4,Microsoft Internet Explorer
479,Q4,lotus notes
479,Q4,
482,Q4,Microsoft Word
486,Q4,Microsoft Office pakken
488,Q4,office 365
488,Q4,opus
489,Q4,Ved ik
490,Q4,Solidworks2018sp3
490,Q4,radan vero software
490,Q4,excel2016
490,Q4,word2016
490,Q4,powerpoint2016
490,Q4,outlook2016
492,Q4,Miccrosoft word
492,Q4,Alineas portaler (dansk
492,Q4,engelsk
492,Q4,matematik')
492,Q4,exel
492,Q4,lommeregner
492,Q4,power point
492,Q4,publisher
492,Q4,google chrome
492,Q4,onedrive
494,Q4,Microsoft Word 2007
495,Q4,En del programmer udviklet til os selv
495,Q4,word
495,Q4,Excel
495,Q4,Skype
495,Q4,Skype for business
498,Q4,Windows 8
498,Q4,Word
498,Q4,sundhedsplatformen
498,Q4,rover
499,Q4,Dalet
499,Q4,Outlook
499,Q4,Chrome
499,Q4,Skype for Business
499,Q4,word
499,Q4,excel
509,Q4,Excel
509,Q4,microsoft Office pakke
509,Q4,autocad 2017
509,Q4,sapp
509,Q4,
511,Q4,Officepakken
511,Q4,CRM
511,Q4,powerbi
513,Q4,Microsoft Word 2016
513,Q4,Microsoft Outlook 2016
513,Q4,Microsoft Internet Explorer 11
513,Q4,Google Chrome
513,Q4,
515,Q4,office pakken
517,Q4,MicrosoftOffice-pakken
517,Q4,SDL Trados
517,Q4,Memsource
517,Q4,
518,Q4,Ufattelig mange
519,Q4,Har en Mac - bruger alle
521,Q4,Microsoft Windows 10
521,Q4,Microsoft Excel
521,Q4,Microsoft Word
521,Q4,Microsoft Paint
521,Q4,Microsoft Clip
521,Q4,Microsoft Outlook
521,Q4,Microsoft Skype for Business
521,Q4,Microsoft C5
521,Q4,Microsoft Explorer
521,Q4,Google Chrome
521,Q4,Mozilla Firefox
521,Q4,Lloyd's Register Rulefinder
521,Q4,Irfanview
521,Q4,Adobe Acrobat
521,Q4,Autodesk AutoCad 2016
522,Q4,Word. Excel
522,Q4,Outlook
522,Q4,Skype
522,Q4,PowerPoint
523,Q4,MSOffice 2010
536,Q4,Office 365
536,Q4,Salesforce.com
537,Q4,C5
537,Q4,Microsoft Excel
537,Q4,Microsoft word
537,Q4,Outlook
537,Q4,3kontakt
545,Q4,Microsoft Excel
545,Q4,Microsoft word
545,Q4,pitney bowes Mapinfo 12.0.2
545,Q4,Microstation (v8)
545,Q4,Adobe pdf reader
545,Q4,Pdf-exchange editor
545,Q4,skype/lync
545,Q4,snippingtool
545,Q4,internet explorer
545,Q4,mozilla firefox
545,Q4,
554,Q4,Microsoft Office.
560,Q4,Advopro
563,Q4,Heracles
563,Q4,Excel
563,Q4,Word
563,Q4,PowerPoint
563,Q4,JIRA
567,Q4,.
572,Q4,Office pakken
577,Q4,
577,Q4,
579,Q4,Office
579,Q4,Cisco
579,Q4,finesse
579,Q4,beam
579,Q4,cherwell
579,Q4,LOs
579,Q4,
581,Q4,Windows 10
582,Q4,Navision
582,Q4,Outlook
582,Q4,Excel
582,Q4,Improve
582,Q4,Word
582,Q4,
583,Q4,Microsoft Office pakken
583,Q4,Skoleintra
583,Q4,Læringsportaler fra Alinea og Gyldendal
583,Q4,Kahoot
583,Q4,
586,Q4,Microsoft word
586,Q4,powerpoint
586,Q4,excell
594,Q4,Excel
594,Q4,Word
594,Q4,erp program
594,Q4,tidsregistrering
594,Q4,browser
597,Q4,Aner det ikke
600,Q4,Microsoft word
600,Q4,2013
600,Q4,microsoft excell 2013
600,Q4,microsoft access 2013
600,Q4,Adobe InDesign 2015
600,Q4,
607,Q4,Outlook
607,Q4,sensum
609,Q4,Outlook
612,Q4,Kongo
612,Q4,midt-epj
612,Q4,open office
616,Q4,Microsoft Office
616,Q4,C&B
616,Q4,Jottacloud
616,Q4,
620,Q4,
620,Q4,
622,Q4,Microsoft Excel 2016
622,Q4,Outlook
622,Q4,Sap Gui
622,Q4,EMS 4.4
622,Q4,
625,Q4,?
627,Q4,Notes
627,Q4,outlook
627,Q4,officespakker
628,Q4,excel
628,Q4,oracle
628,Q4,word
628,Q4,
633,Q4,Microsoft Word 2016
633,Q4,Microsoft Excel 2016
633,Q4,Info Reccon
633,Q4,Microsoft Navision
633,Q4,EG webplan
634,Q4,Microsoft office
634,Q4,Alusta
634,Q4,Adobe
634,Q4,DiverOffice
644,Q4,word
644,Q4,excel
644,Q4,powerpoint
644,Q4,ekspandit
644,Q4,navision
644,Q4,outlook
644,Q4,pdf
645,Q4,Navision
645,Q4,excel
645,Q4,visual studio
645,Q4,mssql
645,Q4,onenote outlook office 365
645,Q4,slack
648,Q4,mail
648,Q4,kalender
648,Q4,officepakke
650,Q4,ved ikke
651,Q4,Det kan jeg ikke. Vi bruger et utal af applikations software til vores forskellige analyse udstyr. Men det er fortroligt hvad.
653,Q4,SAS 9.4
653,Q4,Visual Studio 15
653,Q4,Microsoft Excel 2017
653,Q4,
657,Q4,Husker ikke
659,Q4,excel
661,Q4,word
662,Q4,Windows 7
662,Q4,cosmic
662,Q4,Bookplan
662,Q4,cetrea
662,Q4,dipo
662,Q4,Word
662,Q4,Excel
662,Q4,outlook
666,Q4,Officepakkens programmer fra 2016: Word
666,Q4,Excel
666,Q4,Explorer
666,Q4,Edge
666,Q4,Outlook
666,Q4,Powerpoint
666,Q4,Adobes photoshop
666,Q4,Acrobar reader
666,Q4,3CXphone for windows
666,Q4,scanjour
666,Q4,KMD
666,Q4,Libre office
666,Q4,
669,Q4,Outlook
669,Q4,OneNote
669,Q4,Word
669,Q4,Excel
669,Q4,
676,Q4,Revit
676,Q4,AutoCAD
676,Q4,MS Word
676,Q4,MS Excel
676,Q4,MS Outlook
676,Q4,Adobe Acrobat
676,Q4,Explorer
676,Q4,Autopilot
676,Q4,Acubiz
682,Q4,windows - word - excel - outlook - internet
683,Q4,Uniconta
683,Q4,Microsoft Office
683,Q4,Microsoft SQL-server
683,Q4,Microsoft Visual Studio
683,Q4,dataløn
690,Q4,Outlook 2016
690,Q4,Adobe Acrobat XL Standard
690,Q4,Adobe Acrobat Reader 2017
690,Q4,Word 2016
690,Q4,Internet Explorer
690,Q4,GetOrganized!
690,Q4,EazyProject
690,Q4,Webkort (Silkeborg Kommune)
690,Q4,BBR.dk
690,Q4,Tinglysning.dk
690,Q4,Skype
690,Q4,Competella
690,Q4,Plandata.dk
690,Q4,Medarbejdernet (Silkeborg Data)
694,Q4,Microsoft Office 365
696,Q4,-
699,Q4,Microsoft Excel 2016
699,Q4,Microsoft Project 2016
699,Q4,Microsoft Word 2016
699,Q4,Microsoft Outlook 2016
699,Q4,Microsoft Access 2106
703,Q4,Excel
709,Q4,Epj
709,Q4,endobase
709,Q4,word
714,Q4,Cameleon
714,Q4,Openoffice
718,Q4,Word
720,Q4,cura
720,Q4,word
732,Q4,Excel 2014
732,Q4,word 2011
732,Q4,IDA-2016
732,Q4,Navision 2017
732,Q4,outlook 2016
732,Q4,flash 2012
736,Q4,Det ved jeg apsolut ingenting om vi får materiale stillet til rådighed af Silkeborg kommune
738,Q4,Outlook
738,Q4,Word
738,Q4,Excel
738,Q4,Powerpoint
739,Q4,Word
739,Q4,Oracle
739,Q4,agile
739,Q4,bms
739,Q4,minitab
739,Q4,officepakken
742,Q4,?
744,Q4,Microsoft Office
745,Q4,Browser
747,Q4,Flex. EASY. UdData+. Word.
749,Q4,Microsoft Dynamics NAV
749,Q4,Microsoft Visual Studio
749,Q4,Microsoft Visual Studio Code
749,Q4,Microsoft Office Pakken
749,Q4,Teamviewer
749,Q4,Statical Prism by Stati-Cal.com
750,Q4,BOSANOVA - AS400
750,Q4,Microsoft pakken - excel mv.
761,Q4,Microsoft Word 2011
762,Q4,Microsoft word
762,Q4,microsoft Excel
762,Q4,microsoft outlook
762,Q4,matlab
762,Q4,mathcad
762,Q4,geostudio geosuite
762,Q4,autodesk autocad
762,Q4,Bentley novapoint
763,Q4,Microsoft word
763,Q4,clio.online
763,Q4,intra
768,Q4,Microsoft word
768,Q4,excel. acces
768,Q4,powerpoint. ESDH journaliseringssystem
780,Q4,-
781,Q4,det hved jeg ikke
783,Q4,Så mange at jeg ikke kan huske dem her. Jeg har 8 vinduer åbne normalt
783,Q4,og søger også på andre sider indimellem
787,Q4,Schilling
787,Q4,outlook
787,Q4,planner
787,Q4,microsoft excel
787,Q4,microsoft word
790,Q4,Windows 10 pro
790,Q4,laybys
790,Q4,labka
790,Q4,sundhedsportalen
790,Q4,NC3000 software program
790,Q4,officepakken (word/excel)
795,Q4,Aspet
795,Q4,as4000
795,Q4,microsoft word
795,Q4,microsoft exel
795,Q4,
795,Q4,noats
795,Q4,
796,Q4,microsoft word 2016
796,Q4,microsoft excel 2016
796,Q4,microsoft access 2016
796,Q4,microsoft powerpoint 2016
796,Q4,microsoft project 2013
796,Q4,microsoft dynamic nav 2016
796,Q4,microsoft dynamic nav 2009
796,Q4,adobe indesign
796,Q4,jasc paintshop pro 10
796,Q4,adobe acrobat pro
803,Q4,Microsoft word
803,Q4,sundhedsplatformen
803,Q4,fmk-online
804,Q4,windows
806,Q4,etc....
813,Q4,Officepakken 365
813,Q4,chemsketch
813,Q4,screencastomatic (online)
813,Q4,pasco
813,Q4,vanier log&pro
813,Q4,kahoot (online)
813,Q4,uddata
813,Q4,
815,Q4,Word
816,Q4,Microsoft windows
816,Q4,Microsoft outlook
816,Q4,Microsoft Word
816,Q4,Google Crome
816,Q4,Microsoft Exel
816,Q4,Microsoft Powerpoint
816,Q4,Microsoft Skype for business
816,Q4,Microsoft Onenote
816,Q4,Flexikon
816,Q4,Gecko Booking
816,Q4,Gecko Event
816,Q4,Microsoft dynamics CRM
816,Q4,Prezi
817,Q4,Teleopti
817,Q4,Excel
817,Q4,PowerBI
817,Q4,SAP bo
817,Q4,SAP personale
817,Q4,power point
817,Q4,sharepoint
828,Q4,word
828,Q4,excel
828,Q4,graphpad prism
828,Q4,power point
830,Q4,Office 366 premium
832,Q4,Nexus
836,Q4,Sap
836,Q4,Microsoft Word
836,Q4,Microsoft Excel
836,Q4,Microsoft Access
836,Q4,papyrus
836,Q4,sharepoint
838,Q4,EDB-Brugsen
838,Q4,Tabulex
838,Q4,microsoft Excel 2017
838,Q4,microsoft outlook 2017
838,Q4,microsoft word 2017.
839,Q4,Windows
841,Q4,Microsoft Word 2013
841,Q4,Edge browser
843,Q4,PERSON
843,Q4,Microsoft: Outlook 2016
843,Q4,Word 2016
843,Q4,Internet Explorer
851,Q4,Excel
851,Q4,Word
851,Q4,internet Explorer
851,Q4,Google Chrome
858,Q4,Microsoft Outlook 2016
858,Q4,Microsoft Word 2016
858,Q4,Google Chrome
858,Q4,Microsoft Excel
858,Q4,Paint.
861,Q4,Office365
863,Q4,Nyeste Word
863,Q4,Excel
863,Q4,PowerPoint
863,Q4,Safari
863,Q4,
864,Q4,Word
864,Q4,Excel
864,Q4,PowerPoint
864,Q4,OneNote
864,Q4,Outlook
864,Q4,Photoshop
864,Q4,Indesign
864,Q4,Illustrator
864,Q4,Dreamweaver
865,Q4,Microsoft Excel 2013
865,Q4,Microsoft Word 2013
865,Q4,Microsoft PowerPoint 2013
865,Q4,Microsoft OneNote 2013
865,Q4,Internet Explorer 11
865,Q4,HP Quality Center ALM 12.01
865,Q4,Microsoft Outlook 2013
865,Q4,Acrobat Reader
865,Q4,Citrix Reciever
867,Q4,Windows
868,Q4,Office
868,Q4,erp
868,Q4,internally developed applications
869,Q4,Ios
869,Q4,Windows
870,Q4,Ms Office (word
870,Q4,Excel
870,Q4,powerpoint
870,Q4,outlook)
870,Q4,ms Explorer
870,Q4,Chrome
870,Q4,schilling
870,Q4,Adobe Acrobat
870,Q4,liferay
870,Q4,sharepoint
873,Q4,Word
873,Q4,Excel
873,Q4,powerpoint
873,Q4,outlook
873,Q4,
875,Q4,Microsoft word og outlook
876,Q4,Word
876,Q4,Excel
876,Q4,geogebra
876,Q4,
877,Q4,SAP
877,Q4,Microsoft Outlook
877,Q4,Microsoft Excel
877,Q4,Microsoft Word
879,Q4,Windows
879,Q4,notes
879,Q4,docas
879,Q4,chrome
879,Q4,word
879,Q4,excell
879,Q4,powerpoint
879,Q4,
880,Q4,Microsoft Word 2016
880,Q4,Microsoft Excel 2016
880,Q4,Bosted
880,Q4,Microsoft Outlook 2016
880,Q4,TrueTrade
