"","RecordNo","q","a","Q18_1_open","Q18a"
"1146",381,"Q6",NA,"Director","Chef for jura"
"1147",381,"Q7",NA,"Director","Chef for jura"
"1148",381,"Q5","IBM Verse","Director","Chef for jura"
"1149",381,"Q4","Google Chrome","Director","Chef for jura"
"1150",381,"Q4","Lotus Notes","Director","Chef for jura"
"1151",382,"Q5","Google Calendar","researcher","research; korrektur; redigering"
"1152",382,"Q5","Google Mail","researcher","research; korrektur; redigering"
"1153",382,"Q4","Google Keep","researcher","research; korrektur; redigering"
"1154",382,"Q4","Google Mail","researcher","research; korrektur; redigering"
"1155",382,"Q5","Google Keep","researcher","research; korrektur; redigering"
"1156",382,"Q6",NA,"researcher","research; korrektur; redigering"
"1157",382,"Q4","MS Office 2016","researcher","research; korrektur; redigering"
"1158",382,"Q4","Google Chrome","researcher","research; korrektur; redigering"
"1159",382,"Q7",NA,"researcher","research; korrektur; redigering"
"1160",382,"Q4","GreenScreen","researcher","research; korrektur; redigering"
"1161",382,"Q4","Notepad++","researcher","research; korrektur; redigering"
"1162",385,"Q4","Acadre","jurist","specialiseret juridisk sagsbehandling"
"1163",385,"Q4","SAP MM17","jurist","specialiseret juridisk sagsbehandling"
"1164",385,"Q5",NA,"jurist","specialiseret juridisk sagsbehandling"
"1165",385,"Q6","First Agenda Prepare","jurist","specialiseret juridisk sagsbehandling"
"1166",385,"Q6",NA,"jurist","specialiseret juridisk sagsbehandling"
"1167",385,"Q4","Structura 4.18.0.2 (KMD)","jurist","specialiseret juridisk sagsbehandling"
"1168",385,"Q4","MS Word","jurist","specialiseret juridisk sagsbehandling"
"1169",385,"Q4",NA,"jurist","specialiseret juridisk sagsbehandling"
"1170",385,"Q4","MS Excel 2013","jurist","specialiseret juridisk sagsbehandling"
"1171",385,"Q4","Internet Explorer","jurist","specialiseret juridisk sagsbehandling"
"1172",385,"Q6",NA,"jurist","specialiseret juridisk sagsbehandling"
"1173",385,"Q4","CSC Danmark A/S DPR 4.7.2","jurist","specialiseret juridisk sagsbehandling"
"1174",385,"Q4",NA,"jurist","specialiseret juridisk sagsbehandling"
"1175",385,"Q4","First Agenda Prepare","jurist","specialiseret juridisk sagsbehandling"
"1176",385,"Q7",NA,"jurist","specialiseret juridisk sagsbehandling"
"1177",385,"Q4","Telnet","jurist","specialiseret juridisk sagsbehandling"
"1178",385,"Q4","KMD Doc2mail 3.8.0.10","jurist","specialiseret juridisk sagsbehandling"
"1179",385,"Q7","First Agenda Prepare","jurist","specialiseret juridisk sagsbehandling"
"1180",385,"Q7","Karnov Group","jurist","specialiseret juridisk sagsbehandling"
"1181",385,"Q4","Nexus (KMD)","jurist","specialiseret juridisk sagsbehandling"
"1182",388,"Q6",NA,"",""
"1183",388,"Q5",NA,"",""
"1184",388,"Q7",NA,"",""
"1185",388,"Q4",NA,"",""
"1186",391,"Q5",NA,"Senior SAP Konsulent","Laver ledelsesinformation - Business Intelligence"
"1187",391,"Q7","SAP","Senior SAP Konsulent","Laver ledelsesinformation - Business Intelligence"
"1188",391,"Q4","Harepoint","Senior SAP Konsulent","Laver ledelsesinformation - Business Intelligence"
"1189",391,"Q4","SAP","Senior SAP Konsulent","Laver ledelsesinformation - Business Intelligence"
"1190",391,"Q4","SAP BEx Analyzer","Senior SAP Konsulent","Laver ledelsesinformation - Business Intelligence"
"1191",391,"Q6",NA,"Senior SAP Konsulent","Laver ledelsesinformation - Business Intelligence"
"1192",393,"Q7",NA,"Indvandrerlærer","Undervise"
"1193",393,"Q4","MS Office","Indvandrerlærer","Undervise"
"1194",393,"Q5",NA,"Indvandrerlærer","Undervise"
"1195",393,"Q6",NA,"Indvandrerlærer","Undervise"
"1196",399,"Q5",NA,"plejehjemsassistent","pleje og omsorg"
"1197",399,"Q4",NA,"plejehjemsassistent","pleje og omsorg"
"1198",399,"Q6",NA,"plejehjemsassistent","pleje og omsorg"
"1199",399,"Q6",NA,"plejehjemsassistent","pleje og omsorg"
"1200",399,"Q5",NA,"plejehjemsassistent","pleje og omsorg"
"1201",399,"Q4",NA,"plejehjemsassistent","pleje og omsorg"
"1202",399,"Q7",NA,"plejehjemsassistent","pleje og omsorg"
"1203",399,"Q7",NA,"plejehjemsassistent","pleje og omsorg"
"1204",408,"Q6",NA,"Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1205",408,"Q4","MS Office 365","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1206",408,"Q7",NA,"Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1207",408,"Q4",NA,"Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1208",408,"Q5",NA,"Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1209",408,"Q4","MS Excel","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1210",408,"Q4","MS Powerpoint","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1211",408,"Q5","SAS","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1212",408,"Q5","MS Powerpoint","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1213",408,"Q5","MS Excel","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1214",408,"Q5","Dropbox","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1215",408,"Q5","Skype","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1216",408,"Q5","MS Word","Projektleder","Uddannelsespolitisk interessevaretagelse; møder; projekter; oplæg; forhandlinger"
"1217",409,"Q7","Google Drive","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1218",409,"Q7",NA,"Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1219",409,"Q5","Google Chrome","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1220",409,"Q7","Google Docs","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1221",409,"Q4","Adobe Photoshop","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1222",409,"Q4","Google Drive","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1223",409,"Q6",NA,"Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1224",409,"Q4",NA,"Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1225",409,"Q4","Adobe Dreamveawer","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1226",409,"Q4","Google Docs","Affiliate Manager","kontakt med publishers; om at sende vores tilbud online"
"1227",410,"Q4",NA,"",""
"1228",410,"Q6","Citrix","",""
"1229",410,"Q5","Citrix","",""
"1230",410,"Q7",NA,"",""
"1231",414,"Q6",NA,"",""
"1232",414,"Q4",NA,"",""
"1233",414,"Q7",NA,"",""
"1234",414,"Q4","Adobe Acrobat Reader","",""
"1235",414,"Q5",NA,"",""
"1236",414,"Q4","MS Office","",""
"1237",419,"Q7","MS Navision","Værkfører","Udfører skemaet til arbejde"
"1238",419,"Q6",NA,"Værkfører","Udfører skemaet til arbejde"
"1239",419,"Q5",NA,"Værkfører","Udfører skemaet til arbejde"
"1240",419,"Q4","MS Navision","Værkfører","Udfører skemaet til arbejde"
"1241",423,"Q7",NA,"Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1242",423,"Q6",NA,"Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1243",423,"Q5",NA,"Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1244",423,"Q4","MS Word","Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1245",423,"Q4",NA,"Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1246",423,"Q4","Google Chrome","Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1247",423,"Q4",NA,"Souschef","Sagsbehandling og effektivisering/ledelse i afdelingen."
"1248",427,"Q4","TN3270 Plus","operation manager","It overvågning"
"1249",427,"Q4",NA,"operation manager","It overvågning"
"1250",427,"Q4","MS Excel","operation manager","It overvågning"
"1251",427,"Q4","MS Word","operation manager","It overvågning"
"1252",427,"Q5","Apple Notes","operation manager","It overvågning"
"1253",427,"Q4","Apple Notes","operation manager","It overvågning"
"1254",427,"Q6",NA,"operation manager","It overvågning"
"1255",427,"Q7","Apple Notes","operation manager","It overvågning"
"1256",433,"Q6",NA,"Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1257",433,"Q4","MS PowerPoint 2016","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1258",433,"Q6",NA,"Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1259",433,"Q5",NA,"Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1260",433,"Q6",NA,"Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1261",433,"Q6","Google Chrome","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1262",433,"Q4","MS Outlook 2016","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1263",433,"Q4","MS Teams","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1264",433,"Q4","MS Excel 2016","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1265",433,"Q4","iPaper","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1266",433,"Q4",NA,"Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1267",433,"Q4","MS Word 2016","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1268",433,"Q7",NA,"Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1269",433,"Q4","Adobe CC","Netværkskoordinator","Facilitering og markedsføring af kurser og konferencer."
"1270",437,"Q7",NA,"",""
"1271",437,"Q5",NA,"",""
"1272",437,"Q6",NA,"",""
"1273",437,"Q4","Windows 365","",""
"1274",446,"Q7",NA,"Chefkonsulent","Juridisk rådgivning om anvendelse af ramneaftaler"
"1275",446,"Q6",NA,"Chefkonsulent","Juridisk rådgivning om anvendelse af ramneaftaler"
"1276",446,"Q5",NA,"Chefkonsulent","Juridisk rådgivning om anvendelse af ramneaftaler"
"1277",446,"Q4","MS Office","Chefkonsulent","Juridisk rådgivning om anvendelse af ramneaftaler"
"1278",446,"Q4","Adobe Creative Suite","Chefkonsulent","Juridisk rådgivning om anvendelse af ramneaftaler"
"1279",447,"Q4","MS Excel","Konsulent","Salg"
"1280",447,"Q5",NA,"Konsulent","Salg"
"1281",447,"Q6",NA,"Konsulent","Salg"
"1282",447,"Q7","Dropbox","Konsulent","Salg"
"1283",447,"Q4","MS Word","Konsulent","Salg"
"1284",448,"Q4","MinUddannelse","Lærer","Underviser"
"1285",448,"Q4","MS Office","Lærer","Underviser"
"1286",448,"Q4","https://www.alinea.dk","Lærer","Underviser"
"1287",448,"Q6","Intra","Lærer","Underviser"
"1288",448,"Q5","Intra","Lærer","Underviser"
"1289",448,"Q4","Clio","Lærer","Underviser"
"1290",448,"Q7",NA,"Lærer","Underviser"
"1291",448,"Q5",NA,"Lærer","Underviser"
"1292",450,"Q4","MS Excel","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1293",450,"Q4",NA,"Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1294",450,"Q4","MS Word","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1295",450,"Q4","MS Powerpoint","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1296",450,"Q4",NA,"Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1297",450,"Q6",NA,"Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1298",450,"Q6","IntraNote","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1299",450,"Q5",NA,"Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1300",450,"Q5","IntraNote","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1301",450,"Q7",NA,"Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1302",450,"Q4","IntraNote","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1303",450,"Q4","Skype for Business","Specialkonsulent","Medlemsrådgivning om løn; pension og ansættelse; forhandling af overenskomst"
"1304",451,"Q5",NA,"Sagsbehandler","Økonomistyring"
"1305",451,"Q4","Captia 4","Sagsbehandler","Økonomistyring"
"1306",451,"Q7",NA,"Sagsbehandler","Økonomistyring"
"1307",451,"Q6",NA,"Sagsbehandler","Økonomistyring"
"1308",451,"Q4","SAP","Sagsbehandler","Økonomistyring"
"1309",456,"Q5",NA,"",""
"1310",456,"Q4",NA,"",""
"1311",456,"Q7",NA,"",""
"1312",456,"Q6",NA,"",""
"1313",465,"Q7",NA,"",""
"1314",465,"Q4",NA,"",""
"1315",465,"Q6",NA,"",""
"1316",465,"Q5",NA,"",""
"1317",469,"Q4","MS Excel","ingeniør","Sagsbehandling og tilsyn (HSE)"
"1318",469,"Q5",NA,"ingeniør","Sagsbehandling og tilsyn (HSE)"
"1319",469,"Q4","MS Word","ingeniør","Sagsbehandling og tilsyn (HSE)"
"1320",469,"Q6",NA,"ingeniør","Sagsbehandling og tilsyn (HSE)"
"1321",469,"Q7",NA,"ingeniør","Sagsbehandling og tilsyn (HSE)"
"1322",469,"Q4","MS Powerpoint","ingeniør","Sagsbehandling og tilsyn (HSE)"
"1323",469,"Q4","GetOrganized","ingeniør","Sagsbehandling og tilsyn (HSE)"
"1324",469,"Q4",NA,"ingeniør","Sagsbehandling og tilsyn (HSE)"
"1325",470,"Q7",NA,"Socialrådgiver","Rådgivning; udredning; bevilling"
"1326",470,"Q4","MS Word","Socialrådgiver","Rådgivning; udredning; bevilling"
"1327",470,"Q5",NA,"Socialrådgiver","Rådgivning; udredning; bevilling"
"1328",470,"Q6",NA,"Socialrådgiver","Rådgivning; udredning; bevilling"
"1329",472,"Q4","Skype","Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1330",472,"Q7","Karnov Group","Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1331",472,"Q4",NA,"Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1332",472,"Q5",NA,"Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1333",472,"Q4","MS Office","Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1334",472,"Q4","MS Sharepoint","Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1335",472,"Q6",NA,"Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1336",472,"Q4","MS OneDrive","Juridisk konsulent","Juridisk sagsbehandling og rådgivning"
"1337",473,"Q6",NA,"Bogholder","Regnskaber; personaleledelse; undervisning;"
"1338",473,"Q4","MS Office","Bogholder","Regnskaber; personaleledelse; undervisning;"
"1339",473,"Q5",NA,"Bogholder","Regnskaber; personaleledelse; undervisning;"
"1340",473,"Q7","Winfinans","Bogholder","Regnskaber; personaleledelse; undervisning;"
"1341",473,"Q4","Winfinans","Bogholder","Regnskaber; personaleledelse; undervisning;"
"1342",475,"Q4",NA,"",""
"1343",475,"Q6",NA,"",""
"1344",475,"Q7",NA,"",""
"1345",475,"Q5","Apple Mail","",""
"1346",477,"Q6",NA,"",""
"1347",477,"Q4","MS Word","",""
"1348",477,"Q4","MS Excel","",""
"1349",477,"Q4","MS Powerpoint","",""
"1350",477,"Q5","Google Maps","",""
"1351",477,"Q4","Skype","",""
"1352",477,"Q7",NA,"",""
"1353",478,"Q6","MS Word","Hfruhg","Cryjc"
"1354",478,"Q7",NA,"Hfruhg","Cryjc"
"1355",478,"Q5","MS Word","Hfruhg","Cryjc"
"1356",478,"Q4","MS Word","Hfruhg","Cryjc"
"1357",479,"Q6",NA,"Driftassistent","Vagtplanlægning; daglig drift;"
"1358",479,"Q4",NA,"Driftassistent","Vagtplanlægning; daglig drift;"
"1359",479,"Q4","Internet Explorer","Driftassistent","Vagtplanlægning; daglig drift;"
"1360",479,"Q4","Lotus Notes","Driftassistent","Vagtplanlægning; daglig drift;"
"1361",479,"Q5",NA,"Driftassistent","Vagtplanlægning; daglig drift;"
"1362",479,"Q4","MS Excel","Driftassistent","Vagtplanlægning; daglig drift;"
"1363",479,"Q7","Zendesk","Driftassistent","Vagtplanlægning; daglig drift;"
"1364",479,"Q4","Google Chrome","Driftassistent","Vagtplanlægning; daglig drift;"
"1365",479,"Q4","MS Word","Driftassistent","Vagtplanlægning; daglig drift;"
"1366",482,"Q5",NA,"Fuldmægtig","Analyse"
"1367",482,"Q4","MS Word","Fuldmægtig","Analyse"
"1368",482,"Q7",NA,"Fuldmægtig","Analyse"
"1369",482,"Q6",NA,"Fuldmægtig","Analyse"
"1370",486,"Q7",NA,"Head of Pricing","Prissætning af kundetilbud"
"1371",486,"Q4","MS Office","Head of Pricing","Prissætning af kundetilbud"
"1372",486,"Q6",NA,"Head of Pricing","Prissætning af kundetilbud"
"1373",486,"Q5",NA,"Head of Pricing","Prissætning af kundetilbud"
"1374",488,"Q4","KMD OPUS","it-konsulent","økonomistyring; projektarbejde; eu-udbud"
"1375",488,"Q6","MS Outlook 365","it-konsulent","økonomistyring; projektarbejde; eu-udbud"
"1376",488,"Q7","MS Office 365","it-konsulent","økonomistyring; projektarbejde; eu-udbud"
"1377",488,"Q4","MS Office 365","it-konsulent","økonomistyring; projektarbejde; eu-udbud"
"1378",488,"Q5","MS Outlook 365","it-konsulent","økonomistyring; projektarbejde; eu-udbud"
"1379",489,"Q7",NA,"Kvalitetsansvarlig","Leder"
"1380",489,"Q4",NA,"Kvalitetsansvarlig","Leder"
"1381",489,"Q5",NA,"Kvalitetsansvarlig","Leder"
"1382",489,"Q6",NA,"Kvalitetsansvarlig","Leder"
"1383",490,"Q4","Excel-2016","Application engineer","Modellering; undervisning og support i solidworks"
"1384",490,"Q4","SolidWorks","Application engineer","Modellering; undervisning og support i solidworks"
"1385",490,"Q4","Radan Vero CAD CAM","Application engineer","Modellering; undervisning og support i solidworks"
"1386",490,"Q4","MS Outlook 2016","Application engineer","Modellering; undervisning og support i solidworks"
"1387",490,"Q6",NA,"Application engineer","Modellering; undervisning og support i solidworks"
"1388",490,"Q7","Superoffice","Application engineer","Modellering; undervisning og support i solidworks"
"1389",490,"Q5",NA,"Application engineer","Modellering; undervisning og support i solidworks"
"1390",490,"Q4","MS Word 2016","Application engineer","Modellering; undervisning og support i solidworks"
"1391",490,"Q4","MS PowerPoint 2016","Application engineer","Modellering; undervisning og support i solidworks"
"1392",490,"Q5","Superoffice","Application engineer","Modellering; undervisning og support i solidworks"
"1393",492,"Q6",NA,"Folkeskolelærer","Underviser"
"1394",492,"Q4","MS Word","Folkeskolelærer","Underviser"
"1395",492,"Q4","MS OneDrive","Folkeskolelærer","Underviser"
"1396",492,"Q4",NA,"Folkeskolelærer","Underviser"
"1397",492,"Q4","MS Excel","Folkeskolelærer","Underviser"
"1398",492,"Q5",NA,"Folkeskolelærer","Underviser"
"1399",492,"Q4","https://www.alinea.dk","Folkeskolelærer","Underviser"
"1400",492,"Q7",NA,"Folkeskolelærer","Underviser"
"1401",492,"Q4",NA,"Folkeskolelærer","Underviser"
"1402",492,"Q4","MS Powerpoint","Folkeskolelærer","Underviser"
"1403",492,"Q7","https://www.alinea.dk","Folkeskolelærer","Underviser"
"1404",492,"Q4","Google Chrome","Folkeskolelærer","Underviser"
"1405",492,"Q4","Calculator","Folkeskolelærer","Underviser"
"1406",492,"Q4","MS Publisher","Folkeskolelærer","Underviser"
"1407",492,"Q7",NA,"Folkeskolelærer","Underviser"
"1408",494,"Q7","Ordbogen.com","Oversætter","Oversætter skønlitteratur; faglitteratur; pr-tekster; fra engelsk norsk og svensk"
"1409",494,"Q6",NA,"Oversætter","Oversætter skønlitteratur; faglitteratur; pr-tekster; fra engelsk norsk og svensk"
"1410",494,"Q4","MS Word 2007","Oversætter","Oversætter skønlitteratur; faglitteratur; pr-tekster; fra engelsk norsk og svensk"
"1411",494,"Q5",NA,"Oversætter","Oversætter skønlitteratur; faglitteratur; pr-tekster; fra engelsk norsk og svensk"
"1412",495,"Q5",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1413",495,"Q4","Skype for Business","Oddssætter","Udarbejdelse af odds og spilobjekter"
"1414",495,"Q4","MS Excel","Oddssætter","Udarbejdelse af odds og spilobjekter"
"1415",495,"Q4","MS Word","Oddssætter","Udarbejdelse af odds og spilobjekter"
"1416",495,"Q4","Skype","Oddssætter","Udarbejdelse af odds og spilobjekter"
"1417",495,"Q5",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1418",495,"Q6",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1419",495,"Q5","Adobe Flash","Oddssætter","Udarbejdelse af odds og spilobjekter"
"1420",495,"Q5",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1421",495,"Q5",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1422",495,"Q7",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1423",495,"Q4",NA,"Oddssætter","Udarbejdelse af odds og spilobjekter"
"1424",498,"Q4",NA,"Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1425",498,"Q7",NA,"Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1426",498,"Q4","Rover","Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1427",498,"Q4","MS Word","Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1428",498,"Q6",NA,"Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1429",498,"Q4","Sundhedsplatformen","Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1430",498,"Q5",NA,"Sygeplejerske","Sygepleje af mennesker der er ramt af livstruende sygdom"
"1431",499,"Q7","Skype for Business","Journalist","Reporter"
"1432",499,"Q5",NA,"Journalist","Reporter"
"1433",499,"Q6",NA,"Journalist","Reporter"
"1434",499,"Q4","Skype for Business","Journalist","Reporter"
"1435",499,"Q4","Dalet","Journalist","Reporter"
"1436",499,"Q7","Google Chrome","Journalist","Reporter"
"1437",499,"Q4","Google Chrome","Journalist","Reporter"
"1438",499,"Q4","MS Word","Journalist","Reporter"
"1439",499,"Q4",NA,"Journalist","Reporter"
"1440",499,"Q4","MS Excel","Journalist","Reporter"
"1441",509,"Q7","Autodesk AutoCAD","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1442",509,"Q4","SAP","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1443",509,"Q5","DaluxFM","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1444",509,"Q6",NA,"Teknisk designer","Dokumentation for Bygnings vedligehold"
"1445",509,"Q4","MS Office","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1446",509,"Q4","MS Excel","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1447",509,"Q4","Autodesk AutoCAD","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1448",509,"Q7","DaluxFM","Teknisk designer","Dokumentation for Bygnings vedligehold"
"1449",509,"Q4",NA,"Teknisk designer","Dokumentation for Bygnings vedligehold"
"1450",511,"Q7","MS Office","Business manager","Salg og ledelse"
"1451",511,"Q5",NA,"Business manager","Salg og ledelse"
"1452",511,"Q4","MS Office","Business manager","Salg og ledelse"
"1453",511,"Q4","MS PowerBI","Business manager","Salg og ledelse"
"1454",511,"Q4",NA,"Business manager","Salg og ledelse"
"1455",511,"Q6",NA,"Business manager","Salg og ledelse"
"1456",513,"Q4","MS Outlook 2016","Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1457",513,"Q7",NA,"Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1458",513,"Q4","MS Word 2016","Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1459",513,"Q5",NA,"Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1460",513,"Q4","Internet Explorer","Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1461",513,"Q4","Google Chrome","Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1462",513,"Q4",NA,"Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1463",513,"Q6",NA,"Sagsbehandler","Sagsbehandler sager efter social lovgivning"
"1464",515,"Q5","MS Office","process engineer","Global process engineer surface treatment"
"1465",515,"Q4","MS Office","process engineer","Global process engineer surface treatment"
"1466",515,"Q7","MS Office 365","process engineer","Global process engineer surface treatment"
"1467",515,"Q6",NA,"process engineer","Global process engineer surface treatment"
"1468",517,"Q4",NA,"Direktør","Oversætter; skriver; læser korrektur"
"1469",517,"Q5","Apple Mail","Direktør","Oversætter; skriver; læser korrektur"
"1470",517,"Q6",NA,"Direktør","Oversætter; skriver; læser korrektur"
"1471",517,"Q4","Memsource","Direktør","Oversætter; skriver; læser korrektur"
"1472",517,"Q4","MS Office","Direktør","Oversætter; skriver; læser korrektur"
"1473",517,"Q7","Memsource","Direktør","Oversætter; skriver; læser korrektur"
"1474",517,"Q6",NA,"Direktør","Oversætter; skriver; læser korrektur"
"1475",517,"Q4","SDL Trados","Direktør","Oversætter; skriver; læser korrektur"
"1476",517,"Q7","SDL Trados","Direktør","Oversætter; skriver; læser korrektur"
"1477",518,"Q4","Ufattelig mange","1. Viceskoleinspektør","Forestår pædagogisk vejledning af lærer; pædagoger og andet personale. Forestår administrativ kommunikation med den højere ledelse i kommunen. Er ansvarlig for IT; PLC og PU."
"1478",518,"Q6",NA,"1. Viceskoleinspektør","Forestår pædagogisk vejledning af lærer; pædagoger og andet personale. Forestår administrativ kommunikation med den højere ledelse i kommunen. Er ansvarlig for IT; PLC og PU."
"1479",518,"Q5","Ufattelig mange","1. Viceskoleinspektør","Forestår pædagogisk vejledning af lærer; pædagoger og andet personale. Forestår administrativ kommunikation med den højere ledelse i kommunen. Er ansvarlig for IT; PLC og PU."
"1480",518,"Q7","Ufattelig mange","1. Viceskoleinspektør","Forestår pædagogisk vejledning af lærer; pædagoger og andet personale. Forestår administrativ kommunikation med den højere ledelse i kommunen. Er ansvarlig for IT; PLC og PU."
"1481",519,"Q6",NA,"Sprogkonsulent","Underviser i 4 forskellige sprog - på alle niveauer. Formidler kultur. Hjælper med forberedelse på Danskprøver; indfødsretsprøven; eksamen i div. sprog"
"1482",519,"Q7",NA,"Sprogkonsulent","Underviser i 4 forskellige sprog - på alle niveauer. Formidler kultur. Hjælper med forberedelse på Danskprøver; indfødsretsprøven; eksamen i div. sprog"
"1483",519,"Q5","Scannable","Sprogkonsulent","Underviser i 4 forskellige sprog - på alle niveauer. Formidler kultur. Hjælper med forberedelse på Danskprøver; indfødsretsprøven; eksamen i div. sprog"
"1484",519,"Q4",NA,"Sprogkonsulent","Underviser i 4 forskellige sprog - på alle niveauer. Formidler kultur. Hjælper med forberedelse på Danskprøver; indfødsretsprøven; eksamen i div. sprog"
"1485",521,"Q4","MS Explorer","Navigatør","Arrangementstegninger og beregninger af skibe til basisdesign."
"1486",521,"Q4","Google Chrome","Navigatør","Arrangementstegninger og beregninger af skibe til basisdesign."
"1487",521,"Q7","Google Translate","Navigatør","Arrangementstegninger og beregninger af skibe til basisdesign."
